player,nation,pos,age,playing_time_min,squad,attack_profile,hidden_gem,high_potential_youth,elite_performer,overall_impact,Finisher_score,Dribbler_score,Playmaker_score,Volume Shooter_score
Giovane,br BRA,FW,21,489.0,Hellas Verona,Playmaker,False,True,True,0.1359,0.0833,0.7027,1.9527,0.7367
Rasmus Højlund,dk DEN,FW,22,302.0,Napoli,Finisher,False,True,False,0.0999,1.6667,0.9824,0.3168,-0.0933
Oliver Jensen,dk DEN,MF,23,364.0,Parma,Playmaker,False,False,False,0.029,-0.1825,-0.4372,-0.1229,-0.4067
Mohamed Kaba,fr FRA,"MF,FW",23,142.0,Lecce,Dribbler,False,False,False,0.0653,0.3214,0.8678,-0.0674,0.1433
Mandela Keita,be BEL,MF,23,443.0,Parma,Dribbler,False,False,False,0.0453,-0.1825,0.1223,-0.052,-0.3533
Ismaël Koné,ca CAN,MF,23,394.0,Sassuolo,Finisher,False,True,False,0.0963,1.4643,0.5444,0.6809,-0.3367
Luca Lipani,it ITA,MF,20,94.0,Sassuolo,Dribbler,False,False,False,0.0479,-0.127,0.8678,-0.1229,-0.49
Daniel Maldini,it ITA,MF,23,171.0,Atalanta,Volume Shooter,True,True,False,0.0966,0.0119,0.7367,0.4882,1.2367
Henrik Meister,dk DEN,FW,21,331.0,Pisa,Playmaker,False,False,False,0.0567,-0.2421,0.1015,0.266,-0.1267
Cher Ndour,it ITA,MF,21,94.0,Fiorentina,Dribbler,False,False,False,0.0315,-0.1825,-0.1158,-0.1229,-0.17
Brooke Norton-Cuffy,eng ENG,"DF,FW",21,540.0,Genoa,Dribbler,False,True,True,0.1063,-0.2381,1.2289,1.1099,-0.4333
Gift Orban,ng NGA,FW,23,348.0,Hellas Verona,Volume Shooter,False,True,False,0.0723,-0.4643,-0.1276,0.0437,1.7333
Christian Ordoñez,ar ARG,MF,21,118.0,Parma,Playmaker,False,False,False,0.0174,-0.1825,-0.5655,-0.1229,-0.2367
Gaetano Oristanio,it ITA,"MF,FW",23,160.0,Parma,Playmaker,False,False,False,0.0487,-0.4048,-0.0978,0.4326,0.26
Nicolás Paz,ar ARG,MF,21,527.0,Como,Finisher,False,True,True,0.1594,1.8175,0.8704,1.461,1.65
Máximo Perrone,ar ARG,MF,22,418.0,Como,Finisher,False,False,False,0.0562,1.0825,0.0053,0.1217,-0.2733
Matteo Prati,it ITA,MF,21,410.0,Cagliari,Dribbler,False,True,False,0.0696,-0.2937,0.8678,0.1217,-0.1233
Jesus Rodríguez,es ESP,FW,19,389.0,Como,Playmaker,False,True,True,0.104,-0.3889,0.8954,1.4291,0.28
Nicolò Rovella,it ITA,MF,23,200.0,Lazio,Dribbler,False,False,False,0.0609,-0.127,1.097,0.2518,-0.34
Jonathan Rowe,eng ENG,"FW,MF",22,119.0,Bologna,Volume Shooter,False,False,False,0.0614,-0.6032,0.0196,0.2021,1.0233
Lazar Samardzic,rs SRB,MF,23,249.0,Atalanta,Finisher,True,True,False,0.0861,0.8492,0.1803,0.4102,-0.0067
Matìas Soulé,ar ARG,"MF,FW",22,485.0,Roma,Volume Shooter,False,True,True,0.1385,1.5802,0.7492,1.1868,2.1233
Petar Sucic,hr CRO,MF,21,267.0,Inter,Dribbler,False,False,False,0.0641,0.0833,0.4626,0.3369,-0.04
Kamaldeen Sulemana,gh GHA,MF,23,340.0,Atalanta,Finisher,False,True,False,0.0931,1.5532,0.725,0.5284,0.1267
Cristian Volpato,it ITA,"MF,FW",21,152.0,Sassuolo,Playmaker,False,False,False,0.0547,-0.2381,0.0999,0.3511,-0.2933
